exp,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,fit_seconds_mean,fit_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,unseen_proto_h_mean,unseen_proto_h_std,unseen_state_h_mean,unseen_state_h_std,ratio_mean,ratio_std,train_pos_rate_mean,train_pos_rate_std,test_pos_rate_mean,test_pos_rate_std,n_runs
bot->bot,DecisionTree(d=5),0.9947795052149003,0.0002537812921911232,0.9951901380140283,0.0033814303180118507,0.999999424458436,8.794090719295814e-07,0.9947793988350743,0.00025370920485779156,0.9973825657790808,0.0001274829684957036,0.15497914085909456,0.004902067483833256,0.9973915788007729,0.003382988196437806,0.999999340080601,8.797321175113031e-07,94.98,0.7690439333539884,0.42,0.64174506986332,3829.88,186.12335606653292,729779.12,186.12335606652465,0.00439912280701752,0.00672814037058352,0.005220601164925684,0.00025370920485781465,1.4040000000000001,0.20894291770036832,19461.6,25.23845462457511,733704.4,0.49487165931197097,0.0,0.0,0.0,0.0,50.0,0.0,0.9803921568627452,3.546477361781819e-17,0.9998699748840637,6.74395817441426e-07,50
bot->bot,"KAN(cat,1L)",0.9868279380104272,0.0019466870347989143,0.993413112434553,0.0009734706977096508,1.0,0.0,0.986826224869106,0.001946941395419199,0.993368490714648,0.000986072310728051,0.0990529177371226,0.007794298479438508,0.9992160970087967,0.00024666944436188635,0.999999894185215,3.23151326752661e-08,95.4,0.49487165930539345,0.0,0.0,9664.4,1428.2937301521124,723944.6,1428.2937301521465,0.0,0.0,0.013173775130893937,0.001946941395419245,10.17,2.0990036509093097,19461.6,25.23845462457511,733704.4,0.49487165931197097,0.0,0.0,0.0,0.0,50.0,0.0,0.9803921568627452,3.546477361781819e-17,0.9998699748840637,6.74395817441426e-07,50
bot->bot,"KAN(cat,ML)",0.9965831743748598,9.296453318549925e-05,0.9971380061904003,0.002650915680938208,0.9999996990919895,6.930308810068925e-07,0.9965830299246601,9.304971978308541e-05,0.9982884389704991,4.6647747869631596e-05,0.19075833633234449,0.0026139905488948676,0.9998945731984769,4.48614928624398e-05,0.9999999842770814,6.170942232491935e-09,95.18,0.7196938124462854,0.22,0.5066899385990914,2506.72,68.26211188036407,731102.28,68.2621118803635,0.002307017543859636,0.005311049487318098,0.0034169700753398165,9.304971978310422e-05,46.908,6.1899141136766875,19461.6,25.23845462457511,733704.4,0.49487165931197097,0.0,0.0,0.0,0.0,50.0,0.0,0.9803921568627452,3.546477361781819e-17,0.9998699748840637,6.74395817441426e-07,50
bot->bot,LightGBM,0.9967200687425546,8.031298585270001e-05,0.9971034057311183,0.003104201811215361,0.9999996717598187,8.084144063154867e-07,0.9967199693569735,8.013537867931638e-05,0.9983571254545984,4.0293796217428254e-05,0.19451895885947265,0.002778097100876783,0.9999203904268594,3.6004866868594617e-05,0.9999999858820504,5.9291592415875856e-09,95.16,0.7384484561897217,0.24,0.591090310445063,2406.26,58.78803501754836,731202.74,58.788035017531094,0.002513157894736832,0.006189696104187919,0.0032800306430264196,8.013537867930747e-05,9.304,1.4247033346759364,19461.6,25.23845462457511,733704.4,0.49487165931197097,0.0,0.0,0.0,0.0,50.0,0.0,0.9803921568627452,3.546477361781819e-17,0.9998699748840637,6.74395817441426e-07,50
bot->bot,MLP(16),0.9996476782459625,0.00031039459043019727,0.9425713904648118,0.03613260103761431,0.9999851107875193,9.370077393256248e-06,0.9996625177717285,0.00031297558226938554,0.9998237638079437,0.00015533017756756294,0.5182611234433139,0.09214774390849997,0.9971696976923483,0.011898014263522612,0.9999988826440588,6.489293545721175e-06,84.48,6.96123376350802,10.92,6.874501837239124,247.58,229.60170393309278,733361.42,229.6017039331006,0.11451973684210523,0.07235332183752036,0.0003374822282714128,0.00031297558226942506,3.918,0.6994721041541229,19461.6,25.23845462457511,733704.4,0.49487165931197097,0.0,0.0,0.0,0.0,50.0,0.0,0.9803921568627452,3.546477361781819e-17,0.9998699748840637,6.74395817441426e-07,50
bot->bot,XGBoost,0.9998514115500834,2.246561671056889e-05,0.9779143042876609,0.008669611004360773,0.9999942740964671,2.2544836194592818e-06,0.9998571173472517,2.2238171957424556e-05,0.999925690897364,1.123588673809573e-05,0.6685222020407751,0.029585671642803485,0.9999208264964895,3.4607884242806576e-05,0.9999999859221184,5.862421695177576e-09,91.2,1.7379321515137767,4.2,1.6536909861128892,104.82,16.314123091508716,733504.18,16.314123091507387,0.044028508771929785,0.017338084663159118,0.00014288265274820948,2.223817195742296e-05,3.178,0.43060943997538903,19461.6,25.23845462457511,733704.4,0.49487165931197097,0.0,0.0,0.0,0.0,50.0,0.0,0.9803921568627452,3.546477361781819e-17,0.9998699748840637,6.74395817441426e-07,50
bot->ton,DecisionTree(d=5),0.26702662490582485,0.015971236962938295,0.45973455349813397,0.010722867777170698,0.6273696266506485,0.05106668027393314,0.09348310699626802,0.02076151730626259,0.1623977852007968,0.03305023455920369,-0.11050905386900367,0.03480223584742881,0.6603958749650716,0.052781038495062896,0.8228120321522978,0.022400089896410416,41299.3,150.71389377817084,8700.7,150.71389377817067,145988.2,3343.497031552442,15054.8,3343.497031552443,0.174014,0.003014277875563419,0.906516893003732,0.020761517306262595,0.2,0.0,24327.0,0.0,211043.0,0.0,0.0,0.0,0.21252540951370097,0.0,50.0,0.0,0.9803921568627452,0.0,0.7630814573333397,0.0,10
bot->ton,"KAN(cat,1L)",0.45857668816307573,0.09889516258311067,0.6112073963786069,0.06950959307240238,0.908447600582436,0.07571677148584723,0.3211247927572139,0.13170091154340796,0.46258829105684934,0.14144582017308277,0.21256506416179324,0.12044534688748368,0.8264812523860087,0.03545115416864245,0.9112334607942078,0.025753435149986473,45064.5,3687.110981363172,4935.5,3687.1109813631715,109328.1,21209.50989768505,51714.9,21209.50989768505,0.09870999999999999,0.07374221962726343,0.678875207242786,0.131700911543408,1.83,0.0948683298050514,24327.0,0.0,211043.0,0.0,0.0,0.0,0.21252540951370097,0.0,50.0,0.0,0.9803921568627452,0.0,0.7630814573333397,0.0,10
bot->ton,"KAN(cat,ML)",0.626480859350938,0.13149637246916734,0.6855389760064081,0.09766986002877648,0.8972417799923864,0.04820275169597037,0.5732959520128165,0.17368168975005432,0.6875408189241925,0.13965595208528675,0.3255768640022265,0.16963093130549467,0.7635007129896983,0.09568663417177321,0.8764782249823412,0.05661414280060174,39889.1,5870.94729153652,10110.9,5870.94729153652,68717.7,27970.220362417997,92325.3,27970.220362417997,0.202218,0.1174189458307304,0.42670404798718353,0.17368168975005432,19.21,0.1523883926754993,24327.0,0.0,211043.0,0.0,0.0,0.0,0.21252540951370097,0.0,50.0,0.0,0.9803921568627452,0.0,0.7630814573333397,0.0,10
bot->ton,LightGBM,0.6402766260904176,0.08757464330565497,0.6963691808026428,0.05445443020611559,0.9042256452800975,0.013040228001632405,0.5897623616052855,0.11795983694500842,0.7086890630861612,0.08735770006817528,0.34035625188046986,0.10031671785084564,0.7679932912514049,0.03051797064698579,0.8573754577388746,0.025656747083786166,40148.8,1113.1745196109684,9851.2,1113.174519610969,66065.9,18996.60602113499,94977.1,18996.60602113499,0.197024,0.022263490392219375,0.4102376383947144,0.11795983694500843,1.81,0.0994428926011753,24327.0,0.0,211043.0,0.0,0.0,0.0,0.21252540951370097,0.0,50.0,0.0,0.9803921568627452,0.0,0.7630814573333397,0.0,10
