exp,seed,selezione,stima,budget,normali,bal_acc
ton->bot,42,adattiva,—,8,0,
ton->bot,42,adattiva,L2,32,20,0.9339806996734903
ton->bot,42,adattiva,Firth,32,20,0.7968501633073914
ton->bot,42,adattiva,L2,128,79,0.939371201220681
ton->bot,42,adattiva,Firth,128,79,0.6744207481586758
ton->bot,42,kcenter,L2,8,2,0.6201409042271269
ton->bot,42,kcenter,Firth,8,2,0.6436912107363221
ton->bot,42,kcenter,L2,32,15,0.9492106829080471
ton->bot,42,kcenter,Firth,32,15,0.9017294879155637
ton->bot,42,kcenter,L2,128,43,0.7887384338804821
ton->bot,42,kcenter,Firth,128,43,0.7340456848538508
ton->bot,42,margine+kcenter,L2,8,6,0.7099486918436063
ton->bot,42,margine+kcenter,Firth,8,6,0.7327942069229609
ton->bot,42,margine+kcenter,L2,32,24,0.8962394257359698
ton->bot,42,margine+kcenter,Firth,32,24,0.6415573510357633
ton->bot,42,margine+kcenter,L2,128,57,0.7995130414154168
ton->bot,42,margine+kcenter,Firth,128,57,0.5155545039917742
ton->bot,43,adattiva,L2,8,4,0.7617023059277253
ton->bot,43,adattiva,Firth,8,4,0.6619346604691079
ton->bot,43,adattiva,L2,32,4,0.8487805893247888
ton->bot,43,adattiva,Firth,32,4,0.6243405472114933
ton->bot,43,adattiva,L2,128,16,0.8612743255528954
ton->bot,43,adattiva,Firth,128,16,0.4357737784352296
ton->bot,43,kcenter,L2,8,5,0.6763877570451693
ton->bot,43,kcenter,Firth,8,5,0.9458424927221366
ton->bot,43,kcenter,L2,32,17,0.6784965122384179
ton->bot,43,kcenter,Firth,32,17,0.6948008600645048
ton->bot,43,kcenter,L2,128,47,0.6866293930437175
ton->bot,43,kcenter,Firth,128,47,0.8106245878417968
ton->bot,43,margine+kcenter,L2,8,2,0.7424672740182205
ton->bot,43,margine+kcenter,Firth,8,2,0.5540969229076872
ton->bot,43,margine+kcenter,L2,32,7,0.7189800320784778
ton->bot,43,margine+kcenter,Firth,32,7,0.5505359446526561
ton->bot,43,margine+kcenter,L2,128,52,0.6570583880698195
ton->bot,43,margine+kcenter,Firth,128,52,0.4789445577554765
ton->bot,44,adattiva,L2,8,4,0.9018429575779676
ton->bot,44,adattiva,Firth,8,4,0.923793745430934
ton->bot,44,adattiva,L2,32,23,0.937253619144139
ton->bot,44,adattiva,Firth,32,23,0.90659925511626
ton->bot,44,adattiva,L2,128,79,0.948260194350631
ton->bot,44,adattiva,Firth,128,79,0.691263159725389
ton->bot,44,kcenter,L2,8,5,0.892447772309805
ton->bot,44,kcenter,Firth,8,5,0.8372255244845621
ton->bot,44,kcenter,L2,32,14,0.9260652789204592
ton->bot,44,kcenter,Firth,32,14,0.9330648073661403
ton->bot,44,kcenter,L2,128,43,0.6849058891503543
ton->bot,44,kcenter,Firth,128,43,0.8354597996775357
ton->bot,44,margine+kcenter,L2,8,5,0.5973904809843333
ton->bot,44,margine+kcenter,Firth,8,5,0.7341131515277814
ton->bot,44,margine+kcenter,L2,32,26,0.8631614103633752
ton->bot,44,margine+kcenter,Firth,32,26,0.8294058799591039
ton->bot,44,margine+kcenter,L2,128,67,0.8536717845284275
ton->bot,44,margine+kcenter,Firth,128,67,0.5187057540354686
bot->ton,42,adattiva,L2,8,1,0.6834444923082122
bot->ton,42,adattiva,Firth,8,1,0.5119900309032287
bot->ton,42,adattiva,L2,32,6,0.9142336798582235
bot->ton,42,adattiva,Firth,32,6,0.8733087888691933
bot->ton,42,adattiva,L2,128,32,0.9406029213950522
