exp,frazione_target,martingala,ogni_batch,oracolo,stat_13x13,stat_13x13_adaptive,statico,su_innesco
bot->ton,0.0,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894
bot->ton,0.053,0.9328,0.9328,0.9328,0.4863,0.486,0.9328,0.9328
bot->ton,0.105,0.922,0.8909,0.9213,0.5804,0.5797,0.922,0.922
bot->ton,0.158,0.8767,0.8084,0.9083,0.6044,0.6259,0.9098,0.9098
bot->ton,0.211,0.765,0.7337,0.9022,0.6213,0.6307,0.8948,0.806
bot->ton,0.263,0.7654,0.7784,0.8965,0.6348,0.6526,0.8765,0.769
bot->ton,0.316,0.7652,0.7624,0.8907,0.6579,0.6756,0.8586,0.7499
bot->ton,0.368,0.7813,0.8076,0.8867,0.6673,0.676,0.8439,0.7536
bot->ton,0.421,0.8217,0.8422,0.8835,0.6904,0.6969,0.8254,0.8138
bot->ton,0.474,0.8542,0.8505,0.889,0.7092,0.7007,0.808,0.8551
bot->ton,0.526,0.8626,0.848,0.8993,0.6911,0.6956,0.7901,0.8608
bot->ton,0.579,0.8758,0.8718,0.9006,0.7145,0.7195,0.7711,0.864
bot->ton,0.632,0.855,0.8604,0.9039,0.7132,0.722,0.7536,0.8633
bot->ton,0.684,0.8725,0.8828,0.8965,0.7265,0.7237,0.7338,0.8825
bot->ton,0.737,0.8684,0.8752,0.9056,0.7118,0.7253,0.7145,0.8783
bot->ton,0.789,0.8667,0.8913,0.9038,0.7178,0.7483,0.6931,0.8836
bot->ton,0.842,0.8696,0.8922,0.909,0.7356,0.7436,0.6723,0.8772
bot->ton,0.895,0.8792,0.8898,0.9074,0.7415,0.742,0.6497,0.8732
bot->ton,0.947,0.8825,0.8915,0.9163,0.7441,0.7204,0.626,0.8823
bot->ton,1.0,0.8957,0.8919,0.8904,0.7725,0.7583,0.6029,0.8941
bot->unsw,0.0,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894
bot->unsw,0.053,0.848,0.848,0.848,0.4886,0.4901,0.848,0.848
bot->unsw,0.105,0.8188,0.669,0.9256,0.5789,0.5828,0.8379,0.8379
bot->unsw,0.158,0.7125,0.7166,0.9257,0.5659,0.5382,0.8233,0.8233
bot->unsw,0.211,0.7328,0.7738,0.9156,0.6085,0.6044,0.8048,0.8048
bot->unsw,0.263,0.7746,0.8195,0.9012,0.6358,0.6383,0.7902,0.7902
bot->unsw,0.316,0.8199,0.8371,0.8914,0.6691,0.6602,0.7728,0.7551
bot->unsw,0.368,0.8519,0.8477,0.8728,0.6993,0.6832,0.7587,0.7883
bot->unsw,0.421,0.8529,0.8372,0.8626,0.7004,0.688,0.7389,0.8018
bot->unsw,0.474,0.8491,0.8429,0.8603,0.7088,0.7093,0.7201,0.815
bot->unsw,0.526,0.8458,0.8432,0.8594,0.6802,0.7046,0.7005,0.8294
bot->unsw,0.579,0.8369,0.8402,0.8592,0.6989,0.7238,0.6755,0.8355
bot->unsw,0.632,0.8261,0.8349,0.8571,0.7282,0.7218,0.6555,0.8319
bot->unsw,0.684,0.8396,0.8376,0.847,0.7257,0.7275,0.6315,0.8292
bot->unsw,0.737,0.8174,0.8232,0.8309,0.728,0.7345,0.6077,0.8191
bot->unsw,0.789,0.8095,0.8136,0.816,0.7277,0.7352,0.582,0.8124
bot->unsw,0.842,0.7984,0.8078,0.8008,0.7315,0.7321,0.5568,0.8012
bot->unsw,0.895,0.7891,0.7943,0.7955,0.7338,0.7353,0.5297,0.7895
bot->unsw,0.947,0.7816,0.7814,0.7822,0.7441,0.7426,0.4974,0.7806
bot->unsw,1.0,0.7734,0.7688,0.7753,0.7374,0.7377,0.4646,0.7679
